station_id,reading,reading_date,rain_sum,temperature_2m_max,temperature_2m_min
4,1.8,2023-01-01,3.2,31.563,23.863
4,1.74,2023-01-02,0.0,33.963,23.463001
4,1.7,2023-01-03,0.0,34.563,22.463001
4,1.65,2023-01-04,0.0,35.313,22.463001
4,1.6,2023-01-05,0.0,35.563,21.963001
4,1.54,2023-01-06,0.0,36.463,23.063
4,1.52,2023-01-07,0.0,35.713,22.663
4,1.5,2023-01-08,0.1,36.063,22.463001
4,1.5,2023-01-09,0.3,34.563,23.763
4,1.48,2023-01-10,0.0,36.213,22.713001
4,1.45,2023-01-11,0.0,35.363,21.663
4,1.45,2023-01-12,0.0,35.263,21.513
4,1.43,2023-01-13,0.0,34.863,22.563
4,1.4,2023-01-14,0.0,35.613,22.863
4,1.4,2023-01-15,0.0,34.863,21.663
4,1.38,2023-01-16,0.0,35.363,21.063
4,1.38,2023-01-17,0.0,35.963,20.763
4,1.35,2023-01-18,0.0,35.713,22.563
4,1.35,2023-01-19,0.0,35.513,23.513
4,1.35,2023-01-20,1.5000001,35.013,24.263
4,1.35,2023-01-21,1.3000001,35.013,23.863
4,1.35,2023-01-22,0.0,36.213,22.813
4,1.33,2023-01-23,0.0,36.063,22.563
4,1.33,2023-01-24,0.0,35.913002,22.213001
4,1.33,2023-01-25,0.0,35.813,21.463001
4,1.33,2023-01-26,0.0,35.663002,21.713001
4,1.33,2023-01-27,0.0,35.163002,21.463001
4,1.3,2023-01-28,0.0,35.763,21.063
4,1.3,2023-01-29,0.0,34.163002,22.963001
4,1.3,2023-01-30,0.0,35.763,22.163
4,1.3,2023-01-31,0.0,36.563,21.463001
4,1.3,2023-02-01,0.0,36.813,21.363
4,1.3,2023-02-02,0.0,36.463,22.263
4,1.28,2023-02-03,0.0,36.413002,21.663
4,1.28,2023-02-04,0.0,36.163002,21.113
4,1.28,2023-02-05,0.1,35.913002,21.963001
4,1.28,2023-02-06,0.0,35.813,22.663
4,1.28,2023-02-07,0.0,35.913002,22.663
4,1.26,2023-02-08,0.0,36.213,21.663
4,1.28,2023-02-09,0.0,36.413002,21.913
4,1.26,2023-02-10,0.0,35.713,21.563
4,1.26,2023-02-11,0.0,35.913002,22.163
4,1.25,2023-02-12,0.0,35.463,21.813
4,1.25,2023-02-13,0.0,36.563,22.313
4,1.25,2023-02-14,0.0,36.613,22.363
4,1.25,2023-02-15,0.0,35.963,22.063
4,1.25,2023-02-16,0.1,36.063,23.213001
4,1.25,2023-02-17,0.0,36.163002,23.213001
4,1.25,2023-02-18,0.0,35.763,21.963001
4,1.25,2023-02-19,0.0,35.613,22.063
4,1.3,2023-02-20,0.0,35.863,21.763
4,1.3,2023-02-21,0.0,36.263,22.263
4,1.3,2023-02-22,0.0,36.463,22.913
4,1.3,2023-02-23,0.0,36.513,23.113
4,1.3,2023-02-24,0.0,37.463,23.463001
4,1.3,2023-02-25,0.0,36.913002,23.363
4,1.27,2023-02-26,0.0,35.863,23.213001
4,1.27,2023-02-27,0.0,36.613,22.913
4,1.27,2023-02-28,0.0,37.513,22.363
